# native-claims.tsv — THE IMPLEMENTED SURFACE: one row per Pure.java overload, generated by ClaimRegistryTest from Claims (docs/CLAIM_REGISTRY_DESIGN_2026_09_10.md). kinds = every registration (a function lowers differently by position). Regenerate with -Dclaims.generate=1; the diff is the review.
fqn	signature	constant	kinds	owners	also
meta::alloy::objectReference::decodeObjectReferencesAndGetPkMap	(clientVersion:meta::pure::metamodel::type::String[1], encodedObjectReferences:meta::pure::metamodel::type::String[1], extensions:meta::pure::extension::Extension[*]):meta::pure::metamodel::type::String[1]	DECODE_OBJECT_REFERENCES__3	FAMILY	NativeFn.ObjectReference	
meta::alloy::objectReference::generateObjectReferences	(clientVersion:meta::pure::metamodel::type::String[1], pathToMappingElement:meta::pure::metamodel::type::String[1], rootSetId:meta::pure::metamodel::type::String[1], pathToRuntimeFunction:meta::pure::metamodel::type::String[1], pkMaps:meta::pure::functions::collection::Map<meta::pure::metamodel::type::String,meta::pure::metamodel::type::Any>[*], extensions:meta::pure::extension::Extension[*]):meta::pure::metamodel::type::String[1]	GENERATE_OBJECT_REFERENCES__6	FAMILY	NativeFn.ObjectReference	
meta::alloy::objectReference::generateObjectReferencesForGivenSetId	(clientVersion:meta::pure::metamodel::type::String[1], pathToMappingElement:meta::pure::metamodel::type::String[1], rootSetId:meta::pure::metamodel::type::String[1], setId:meta::pure::metamodel::type::String[1], pathToRuntimeFunction:meta::pure::metamodel::type::String[1], pkMaps:meta::pure::functions::collection::Map<meta::pure::metamodel::type::String,meta::pure::metamodel::type::Any>[*], extensions:meta::pure::extension::Extension[*]):meta::pure::metamodel::type::String[1]	GENERATE_OBJECT_REFERENCES_FOR_GIVEN_SET_ID__7	FAMILY	NativeFn.ObjectReference	
meta::alloy::service::execution::setUpDataSQLs	(data:meta::pure::metamodel::type::String[1], db:meta::relational::metamodel::Database[*]):meta::pure::metamodel::type::String[*]	SET_UP_DATA_SQLS__STRING_1__DATABASE_MANY	FAMILY	NativeFn.Effect	PlatformTypes
meta::alloy::service::execution::setUpDataSQLs	(data:meta::pure::metamodel::type::String[1], db:meta::relational::metamodel::Database[*], dbConfig:meta::relational::functions::sqlQueryToString::DbConfig[1]):meta::pure::metamodel::type::String[*]	SET_UP_DATA_SQLS__STRING_1__ANY_MANY__ANY_1	FAMILY	NativeFn.Effect	PlatformTypes
meta::alloy::service::execution::setUpDataSQLs	(records:meta::pure::functions::collection::List<meta::pure::metamodel::type::String>[*], db:meta::relational::metamodel::Database[*], dbConfig:meta::relational::functions::sqlQueryToString::DbConfig[1]):meta::pure::metamodel::type::String[*]	SET_UP_DATA_SQLS__LIST_MANY__ANY_MANY__ANY_1	FAMILY	NativeFn.Effect	PlatformTypes
meta::alloy::service::execution::setUpDataSQLsV2	(data:meta::pure::metamodel::type::String[1], db:meta::relational::metamodel::Database[*], dbConfig:meta::relational::functions::sqlQueryToString::DbConfig[1]):meta::pure::metamodel::type::String[*]	SET_UP_DATA_SQLS_V2__STRING_1__ANY_1__ANY_1	FAMILY	NativeFn.Effect	PlatformTypes
meta::alloy::test::mayExecuteAlloyTest	<X|k>(f1:meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Integer[1]->X[k]}>[1], f2:meta::pure::metamodel::function::Function<{->X[k]}>[1]):X[k]	MAY_EXECUTE_ALLOY_TEST	CORE_FN	CoreFn.MAY_EXECUTE_ALLOY_TEST	
meta::core::runtime::connectionByElement	(runtime:meta::core::runtime::Runtime[1], store:meta::pure::store::Store[1]):meta::core::runtime::Connection[1]	CONNECTION_BY_ELEMENT__RUNTIME_1__STORE_1	FAMILY	NativeFn.Effect	PlatformTypes
meta::core::runtime::currentUserId	():meta::pure::metamodel::type::String[1]	CORE_CURRENT_USER_ID__STRING_1	SCALAR_RULE	Scalars.RULES	
