# native-membership.tsv — the platform's implemented surface (upstream boundary program, batch 5).
# Membership is OURS; the signature text is generated from the pinned checkouts.
# constant	fqn	signatureKey — sorted by fqn, then key.
DECODE_OBJECT_REFERENCES__3	meta::alloy::objectReference::decodeObjectReferencesAndGetPkMap	meta::alloy::objectReference::decodeObjectReferencesAndGetPkMap(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::extension::Extension[*])
GENERATE_OBJECT_REFERENCES__6	meta::alloy::objectReference::generateObjectReferences	meta::alloy::objectReference::generateObjectReferences(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::functions::collection::Map<meta::pure::metamodel::type::String, meta::pure::metamodel::type::Any>[*],meta::pure::extension::Extension[*])
GENERATE_OBJECT_REFERENCES_FOR_GIVEN_SET_ID__7	meta::alloy::objectReference::generateObjectReferencesForGivenSetId	meta::alloy::objectReference::generateObjectReferencesForGivenSetId(meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::functions::collection::Map<meta::pure::metamodel::type::String, meta::pure::metamodel::type::Any>[*],meta::pure::extension::Extension[*])
SET_UP_DATA_SQLS__LIST_MANY__ANY_MANY__ANY_1	meta::alloy::service::execution::setUpDataSQLs	meta::alloy::service::execution::setUpDataSQLs(meta::pure::functions::collection::List<meta::pure::metamodel::type::String>[*],meta::relational::metamodel::Database[*],meta::relational::functions::sqlQueryToString::DbConfig[1])
SET_UP_DATA_SQLS__STRING_1__DATABASE_MANY	meta::alloy::service::execution::setUpDataSQLs	meta::alloy::service::execution::setUpDataSQLs(meta::pure::metamodel::type::String[1],meta::relational::metamodel::Database[*])
SET_UP_DATA_SQLS__STRING_1__ANY_MANY__ANY_1	meta::alloy::service::execution::setUpDataSQLs	meta::alloy::service::execution::setUpDataSQLs(meta::pure::metamodel::type::String[1],meta::relational::metamodel::Database[*],meta::relational::functions::sqlQueryToString::DbConfig[1])
SET_UP_DATA_SQLS_V2__STRING_1__ANY_1__ANY_1	meta::alloy::service::execution::setUpDataSQLsV2	meta::alloy::service::execution::setUpDataSQLsV2(meta::pure::metamodel::type::String[1],meta::relational::metamodel::Database[*],meta::relational::functions::sqlQueryToString::DbConfig[1])
MAY_EXECUTE_ALLOY_TEST	meta::alloy::test::mayExecuteAlloyTest	meta::alloy::test::mayExecuteAlloyTest(meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Integer[1]->X[k]}>[1],meta::pure::metamodel::function::Function<{->X[k]}>[1])
CONNECTION_BY_ELEMENT__RUNTIME_1__STORE_1	meta::core::runtime::connectionByElement	meta::core::runtime::connectionByElement(meta::core::runtime::Runtime[1],meta::pure::store::Store[1])
CORE_CURRENT_USER_ID__STRING_1	meta::core::runtime::currentUserId	meta::core::runtime::currentUserId()
GET_VALUE__JSON_OBJECT_1__STRING_1	meta::json::getValue	meta::json::getValue(meta::json::JSONObject[1],meta::pure::metamodel::type::String[1])
PARSE_JSON__STRING_1	meta::json::parseJSON	meta::json::parseJSON(meta::pure::metamodel::type::String[1])
TDS_TO_JSON_KEY_VALUE_OBJECT_STRING__TDS_1	meta::json::tdsToJSONKeyValueObjectString	meta::json::tdsToJSONKeyValueObjectString(meta::pure::tds::TabularDataSet[1])
TO_COMPACT_JSON_STRING	meta::json::toCompactJSONString	meta::json::toCompactJSONString(meta::json::JSONElement[1])
TO_JSON__ANY_M	meta::json::toJSON	meta::json::toJSON(meta::pure::metamodel::type::Any[*])
TO_PRETTY_JSON_STRING	meta::json::toPrettyJSONString	meta::json::toPrettyJSONString(meta::json::JSONElement[1])
EXECUTE_LEGEND_QUERY__FN_1__PAIR_MANY__EXTENSION_MANY	meta::legend::executeLegendQuery	meta::legend::executeLegendQuery(meta::pure::metamodel::function::FunctionDefinition<meta::pure::metamodel::type::Any>[1],meta::pure::functions::collection::Pair<meta::pure::metamodel::type::String, meta::pure::metamodel::type::Any>[*],meta::pure::extension::Extension[*])
EXECUTE_LEGEND_QUERY__FN_1__PAIR_MANY__EXECUTION_CONTEXT_1__EXTENSION_MANY	meta::legend::executeLegendQuery	meta::legend::executeLegendQuery(meta::pure::metamodel::function::FunctionDefinition<meta::pure::metamodel::type::Any>[1],meta::pure::functions::collection::Pair<meta::pure::metamodel::type::String, meta::pure::metamodel::type::Any>[*],meta::pure::runtime::ExecutionContext[1],meta::pure::extension::Extension[*])
MAY_EXECUTE_LEGEND_TEST	meta::legend::test::mayExecuteLegendTest	meta::legend::test::mayExecuteLegendTest(meta::pure::metamodel::function::Function<{meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::String[1],meta::pure::metamodel::type::Integer[1]->X[k]}>[1],meta::pure::metamodel::function::Function<{->X[k]}>[1])
RELATIONAL_MAPPER_PP	meta::pure::alloy::connections::relationalMapperPostProcessor	meta::pure::alloy::connections::relationalMapperPostProcessor(meta::pure::alloy::connections::RelationalMapperPostProcessor[1])
EXECUTION_PLAN_EXECUTE__EXECUTION_PLAN_1__ANY_MANY__EXTENSION_MANY	meta::pure::executionPlan::execute	meta::pure::executionPlan::execute(meta::pure::executionPlan::ExecutionPlan[1],meta::pure::metamodel::type::Any[*],meta::pure::extension::Extension[*])
EXECUTION_PLAN__FUNCTION_DEFINITION_1__EXTENSION_MANY	meta::pure::executionPlan::executionPlan	meta::pure::executionPlan::executionPlan(meta::pure::metamodel::function::FunctionDefinition<meta::pure::metamodel::type::Any>[1],meta::pure::extension::Extension[*])
