trade_id,trade_date,booked_at,region,desk,book,year,quarter,notional,pnl,quantity,settled
100000,2021-02-09,2021-02-09 07:17:00,EMEA,Equities,Alpha Fund,2021,Q1,975593.27,85034.30,330,true
100001,2022-04-08,2022-04-08 04:34:00,APAC,FX,"Smith, ""Big"" Fund",2022,Q2,954478.07,3394.00,45,true
100002,2023-12-08,2023-12-08 13:04:00,AMER,Credit,Alpha Fund,2023,Q4,382614.57,57879.57,118,true
100003,2024-01-15,2024-01-15 18:17:00,EMEA,Credit,O'Brien Holdings,2024,Q1,459266.40,-75092.91,179,true
100004,2025-09-11,2025-09-11 04:08:00,APAC,FX,Beta Fund,2025,Q3,675520.74,-51663.78,193,false
100005,2021-12-03,2021-12-03 03:41:00,AMER,Commodities,O'Brien Holdings,2021,Q4,105154.81,-18251.59,346,true
100006,2022-04-12,2022-04-12 00:51:00,EMEA,FX,O'Brien Holdings,2022,Q2,995331.44,84299.21,397,true
100007,2023-04-18,2023-04-18 13:03:00,APAC,Commodities,"Smith, ""Big"" Fund",2023,Q2,606348.55,95442.69,131,true
100008,2024-03-09,2024-03-09 01:01:00,AMER,Credit,"Smith, ""Big"" Fund",2024,Q1,6209.97,77652.93,39,true
100009,2025-01-19,2025-01-19 08:14:00,EMEA,Credit,Alpha Fund,2025,Q1,520813.08,65857.81,376,true
100010,2021-07-16,2021-07-16 06:39:00,APAC,Commodities,O'Brien Holdings,2021,Q3,783010.10,-72252.83,155,false
100011,2022-03-19,2022-03-19 05:46:00,AMER,Commodities,"Smith, ""Big"" Fund",2022,Q1,729.24,-26578.97,71,true
100012,2023-01-27,2023-01-27 22:59:00,EMEA,Commodities,O'Brien Holdings,2023,Q1,366331.78,-12448.38,41,false
100013,2024-08-20,2024-08-20 00:39:00,APAC,Equities,Beta Fund,2024,Q3,926751.51,-32871.57,117,true
100014,2025-09-10,2025-09-10 09:14:00,AMER,Commodities,Beta Fund,2025,Q3,986771.61,73090.16,380,false
100015,2021-06-18,2021-06-18 02:12:00,EMEA,Rates,O'Brien Holdings,2021,Q2,796973.62,2036.39,419,false
100016,2022-09-19,2022-09-19 06:02:00,APAC,Commodities,"Smith, ""Big"" Fund",2022,Q3,516297.72,54221.25,46,true
100017,2023-06-15,2023-06-15 00:09:00,AMER,Credit,O'Brien Holdings,2023,Q2,865397.47,-99885.27,484,true
100018,2024-08-01,2024-08-01 12:29:00,EMEA,Rates,"Smith, ""Big"" Fund",2024,Q3,196359.48,56009.92,68,false
100019,2025-02-15,2025-02-15 22:48:00,APAC,Rates,Alpha Fund,2025,Q1,848101.50,98578.37,55,true
100020,2021-03-18,2021-03-18 06:02:00,AMER,FX,Beta Fund,2021,Q1,681623.31,44658.36,189,true
100021,2022-03-27,2022-03-27 11:04:00,EMEA,Credit,O'Brien Holdings,2022,Q1,929428.56,18962.51,185,true
100022,2023-09-27,2023-09-27 20:09:00,APAC,FX,Alpha Fund,2023,Q3,574767.30,48098.17,341,true
100023,2024-03-19,2024-03-19 23:50:00,AMER,Rates,Beta Fund,2024,Q1,592752.28,55491.06,447,false
100024,2025-04-17,2025-04-17 17:36:00,EMEA,FX,"Smith, ""Big"" Fund",2025,Q2,2019.66,18969.54,212,false
100025,2021-09-15,2021-09-15 14:49:00,APAC,Equities,Beta Fund,2021,Q3,555530.42,-76299.53,424,true
100026,2022-01-11,2022-01-11 00:41:00,AMER,Commodities,O'Brien Holdings,2022,Q1,73448.96,-13429.20,222,true
100027,2023-08-08,2023-08-08 12:16:00,EMEA,FX,"Smith, ""Big"" Fund",2023,Q3,944349.09,84034.09,109,true
100028,2024-07-06,2024-07-06 16:42:00,APAC,Equities,"Smith, ""Big"" Fund",2024,Q3,828953.86,50026.31,483,true
100029,2025-03-02,2025-03-02 11:51:00,AMER,Commodities,Beta Fund,2025,Q1,976345.08,78161.11,241,true
100030,2021-05-24,2021-05-24 00:23:00,EMEA,FX,"Smith, ""Big"" Fund",2021,Q2,713127.97,-95201.09,31,true
