fqn	source	demand	corpusDefined	constraints	derived	stereotypes	taggedValues	defaults	escapes	file
meta::core::runtime::Connection	legend-pure	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-pure/legend-pure-dsl/legend-pure-dsl-store/legend-pure-m2-dsl-store-pure/src/main/resources/platform_dsl_store/grammar/runtime.pure
meta::core::runtime::ConnectionStore	legend-pure	java	false	0	0	0	0	0		/Users/neemsandv/legend/legend-pure/legend-pure-dsl/legend-pure-dsl-store/legend-pure-m2-dsl-store-pure/src/main/resources/platform_dsl_store/grammar/runtime.pure
meta::core::runtime::EngineRuntime	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/runtime/runtimeExtension.pure
meta::core::runtime::Runtime	legend-pure	java	false	0	1	0	0	0		/Users/neemsandv/legend/legend-pure/legend-pure-dsl/legend-pure-dsl-store/legend-pure-m2-dsl-store-pure/src/main/resources/platform_dsl_store/grammar/runtime.pure
meta::external::format::shared::ExternalFormatContract	legend-engine	closure	false	1	1	0	0	1		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::ExternalFormatExternalizeConfig	legend-engine	closure	false	0	0	1	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::ExternalFormatFromPureDescriptor	legend-engine	closure	false	1	2	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::ExternalFormatInternalizeConfig	legend-engine	closure	false	0	0	1	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::ExternalFormatToPureDescriptor	legend-engine	closure	false	1	2	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::binding::Binding	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/binding/binding.pure
meta::external::format::shared::binding::BindingTransformer	legend-engine	corpus	false	0	2	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/binding/mapping.pure
meta::external::format::shared::binding::validation::BindingDetail	legend-engine	closure	false	0	0	1	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/binding/validation.pure
meta::external::format::shared::executionPlan::ExternalFormatExternalizeExecutionNode	legend-engine	corpus	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/executionPlan/model.pure
meta::external::format::shared::metamodel::SchemaSet	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/schemaSet/metamodel.pure
meta::external::format::shared::transformation::GenerationConfiguration	legend-engine	closure	false	0	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/transformation/generation.pure
meta::external::format::shared::transformation::fromPure::ModelToSchemaConfiguration	legend-engine	closure	false	1	0	0	0	0		/Users/neemsandv/legend/legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/transformation/generation.pure
