keyword	grammars	status
AGGREGATE	DataQuality	present
ALL_TARGETS	Persistence	parsed-generic
AWSIdP	Authentication	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
AWSSecretsManagerSecret	Authentication	present
AllowDuplicates	PersistenceRelational	present
AnyVersion	Persistence	present
ApiKey	Authentication	present
ApiToken	AuthenticationStrategy	present
AppendOnly	Persistence,PersistenceRelational	present
Association	Domain	present
AssociationMapping	Relational	present
Athena	Athena	present
Aurora	Aurora	present
AuthenticationDemo	Authentication	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
BOOLEAN	Deephaven	present
BUS_FROM	Relational	present
BUS_SNAPSHOT_DATE	Relational	present
BUS_THRU	Relational	present
Batch	Persistence	present
BatchId	Persistence,PersistenceRelational	present
BatchIdAndDateTime	Persistence,PersistenceRelational	present
BigQuery	BigQuery	present
BigQueryFunction	BigQueryFunction	present
BigQueryFunctionDeploymentConfiguration	BigQueryFunction	parsed-generic (audit-verified 2026-08-14: identifier/value usage, corpus byte-matched)
Binding	ExternalFormat,RelationFunctionMapping,Relational	present
Bitemporal	PersistenceRelational	present
BitemporalDelta	Persistence	present
BitemporalSnapshot	Persistence	present
Boolean	Elasticsearch	present
Byte	Elasticsearch	present
Class	Domain	present
Collection	MongoDBSchema	present
Combined	DataSpace	present
DATETIME	Deephaven	present
DECIMAL	Deephaven	present
DID	Service	present
DOUBLE	Deephaven	present
Data	Data	present
DataQualityRelationComparison	DataQuality	present
DataQualityRelationValidation	DataQuality	present
DataQualityValidation	DataQuality	present
DataSpace	DataSpace	present
Database	MongoDBSchema,Relational	present
DatabaseMappers	RelationalMapper	present
Databricks	Databricks	present
Date	Elasticsearch	present
DateTime	Persistence,PersistenceRelational	present
Deephaven	Deephaven	present
DeephavenApp	Deephaven	present
Default	Authentication	present
DefaultH2	AuthenticationStrategy	present
DelegatedKerberos	AuthenticationStrategy	present
DeleteIndicator	Persistence	present
DeleteTargetData	Persistence	present
Delta	Persistence	present
Deployment	BigQueryFunction,Deephaven,FunctionJar,HostedService,MemSqlFunction,Snowflake	present
Diagram	Diagram	present
Double	Elasticsearch	present
DuckDB	DuckDB	present
DuplicateCount	Persistence	present
Elasticsearch7Cluster	Elasticsearch	present
Email	DataSpace,Persistence	present
EmbeddedH2	DataSourceSpecification	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
EncryptedPrivateKey	Authentication	present
Enum	Domain	present
EnumerationMapping	PureInstanceClassMapping,RelationFunctionMapping,Relational	present
EnvironmentSecret	Authentication	present
Error	Domain	present
ExecutionEnvironment	HostedService,Service	present
FLOAT	Deephaven	present
FailOnDuplicates	PersistenceRelational	present
FieldBased	Persistence	present
FileGeneration	FileGeneration	present
Filter	Relational	present
FilterDuplicates	PersistenceRelational	present
Flat	Persistence	present
Float	Elasticsearch	present
FunctionJar	FunctionJar	present
GCPApplicationDefaultCredentials	AuthenticationStrategy	present
GCPWIFWithAWSIdP	Authentication	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
GCPWorkload	Authentication	present
GCPWorkloadIdentityFederation	AuthenticationStrategy	present
GenerationFeaturesConfig	QueryGenerationConfigs	present
GenerationSpecification	GenerationSpecification	present
GlobalAurora	Aurora	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
HalfFloat	Elasticsearch	present
HostedService	HostedService	present
HostedServiceDeploymentConfiguration	HostedService	parsed-generic (audit-verified 2026-08-14: identifier/value usage, corpus byte-matched)
INFINITY_DATE	Relational	present
INT	Deephaven	present
Inline	RelationFunctionMapping,Relational	present
Integer	Elasticsearch	present
Join	MongoDBSchema,Relational	present
Kerberos	Authentication	present
Keyword	Elasticsearch	present
LocalH2	DataSourceSpecification	present
Long	Elasticsearch	present
MD5Hash	DataQuality	present
Mapping	Mapping	present
MappingTests	Mapping	present
MaxVersion	Persistence	present
Measure	Domain	present
MemSql	MemSql	present
MemSqlFunction	MemSqlFunction	present
MemSqlFunctionDeploymentConfiguration	MemSqlFunction	parsed-generic (audit-verified 2026-08-14: identifier/value usage, corpus byte-matched)
MiddleTierUserNamePassword	AuthenticationStrategy	present
Multi	Service	present
MultiFlat	Persistence	present
MultiGrainFilter	Relational	present
Nested	Elasticsearch	present
NoDeletes	Persistence	present
NoOp	Persistence	present
None	Persistence,PersistenceRelational	present
NontemporalDelta	Persistence	present
NontemporalSnapshot	Persistence	present
Notifier	Persistence	present
OAuth	AuthenticationStrategy	present
OUT_IS_INCLUSIVE	Relational	present
Object	Elasticsearch	present
ObjectStorage	Persistence	present
Oracle	Oracle	present
Otherwise	Relational	present
Overwrite	PersistenceRelational	present
PROCESSING_IN	Relational	present
PROCESSING_OUT	Relational	present
PROCESSING_SNAPSHOT_DATE	Relational	present
PagerDuty	Persistence	present
Persistence	Persistence	present
PersistenceContext	Persistence	present
Profile	Domain	present
PropertiesFileSecret	Authentication	present
ROW_LEVEL	DataQuality	present
Record	FlatData	present
Redshift	Redshift	present
Relational	Persistence,PersistenceRelational,RelationalEmbeddedData	present
RelationalMapper	RelationalMapper	present
Runtime	Runtime	present
SINGLE_TARGET	Persistence	parsed-generic
STRING	Deephaven	present
STSAssumeRole	Authentication	present
Schema	Relational	present
SchemaMappers	RelationalMapper	present
SchemaSet	ExternalFormat	present
Service	Service,ServiceStore	present
ServiceGroup	ServiceStore	present
ServiceStore	ServiceStore	present
Short	Elasticsearch	present
Single	Service	present
SingleConnectionRuntime	Runtime	present
Snapshot	Persistence	present
Snowflake	Snowflake	present
SnowflakeApp	Snowflake	present
SnowflakeAppDeploymentConfiguration	Snowflake	dead-grammar-0-tests
SnowflakeM2MUdf	Snowflake	present
SnowflakePublic	Snowflake	present
SnowflakeUDFDeploymentConfiguration	Snowflake	dead-grammar-0-tests
SourceSpecifiesFromAndThruDateTime	Persistence	present
SourceSpecifiesFromDateTime	Persistence	present
SourceSpecifiesInAndOutDateTime	Persistence	present
SourceSpecifiesInDateTime	Persistence	present
Spanner	Spanner	present
Start	PersistenceRelational	present
StartAndEnd	PersistenceRelational	present
Static	Authentication,DataSourceSpecification	present
Streaming	Persistence	present
SystemPropertiesSecret	Authentication	present
TDS	Persistence	present
THRU_IS_INCLUSIVE	Relational	present
TIMESTAMP	Deephaven	present
Table	Deephaven,Relational	present
TableMappers	RelationalMapper	present
TabularFunction	Relational	present
Test	AuthenticationStrategy	present
Text	Elasticsearch,Text	present
Trino	Trino	present
TrinoDelegatedKerberos	Trino	present
Unitemporal	PersistenceRelational	present
UnitemporalDelta	Persistence	present
UnitemporalSnapshot	Persistence	present
UserList	HostedService,Service	present
UserNamePassword	AuthenticationStrategy	present
UserPassword	Authentication	present
View	Relational	present
Views	AggregationAware	present
Warn	Domain	present
accessKeyId	Authentication	present
account	AuthenticationStrategy,Snowflake	present
accountId	Authentication	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
accountType	Snowflake	present
actionIndicator	Persistence	present
actions	HostedService	present
activationConfiguration	BigQueryFunction,FunctionJar,HostedService,MemSqlFunction,Snowflake	present
activationConnection	BigQueryFunction,MemSqlFunction,Snowflake	present
additionalGcpScopes	AuthenticationStrategy	present
address	DataSpace,Persistence	present
aggregatedHash	DataQuality	present
all	M3	present
allVersions	M3	present
allVersionsInRange	M3	present
allowReserved	ServiceStore	present
and	Relational	present
apiToken	AuthenticationStrategy	present
appendStrategy	PersistenceRelational	present
applicationName	Deephaven,Snowflake	present
artifactId	DataSpace	present
as	Domain	present
assert	Mapping	present
assertion	DataQuality	present
assertions	HostedService,Service	present
asserts	DataQuality,HostedService,Mapping,Persistence,Service	present
athenaEndpoint	Athena	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
auditing	Persistence,PersistenceRelational	present
auth	RelationalDatabaseConnection	present
authentication	Authentication,DeephavenConnection,ElasticsearchConnection,MongoDBConnection	present
autoActivateUpdates	HostedService,Service	present
autoServerMode	DataSourceSpecification	oracle-unreachable (probed 2026-08-14: the pinned jar set does not register the extension — re-probe on oracle bump)
awsCredentials	Authentication	present
baseUrl	ServiceStoreConnection	present
baseVaultReference	AuthenticationStrategy	present
batchIdIn	PersistenceRelational	present
batchIdInName	Persistence	present
batchIdOut	PersistenceRelational	present
batchIdOutName	Persistence	present
binding	HostedService,Persistence,Service	present
