# PROTOCOL-TYPE ROSTER — every @JsonSubTypes tag the pinned engine's protocol jars declare (+ the extension registry),
# COVERED when a source in the engine corpus, the fixtures or our own test snippets reaches it (ProtocolRosterCensusTest).
# THE LEDGER IS THIS FILE: a bump that adds or removes a tag, or moves a tag between COVERED and UNCOVERED, is a reviewed diff. Regenerate: -Droster.generate=1.
AggregationAwarePropertyMapping	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.mapping.aggregationAware.AggregationAwarePropertyMapping	COVERED
AnalyticsExecutionContext	org.finos.legend.engine.protocol.pure.v1.model.valueSpecification.raw.executionContext.AnalyticsExecutionContext	UNCOVERED
Array	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Other	UNCOVERED
BaseExecutionContext	org.finos.legend.engine.protocol.pure.v1.model.valueSpecification.raw.executionContext.BaseExecutionContext	UNCOVERED
BigInt	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.BigInt	COVERED
Binary	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Binary	COVERED
Bit	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Bit	COVERED
Char	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Char	COVERED
Date	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Date	COVERED
Decimal	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Decimal	COVERED
DeephavenApp	org.finos.legend.engine.protocol.deephaven.metamodel.DeephavenApp	COVERED
DeephavenExecutionNode	org.finos.legend.engine.protocol.deephaven.metamodel.pure.DeephavenExecutionNode	UNCOVERED
Double	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Double	COVERED
Enumeration	org.finos.legend.engine.protocol.pure.m3.type.Enumeration	COVERED
ExtractSubQueriesAsCTEsPostProcessor	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.connection.postprocessor.ExtractSubQueriesAsCTEsPostProcessor	UNCOVERED
Float	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Float	COVERED
Integer	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Integer	COVERED
Json	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Json	COVERED
JsonModelConnection	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.modelToModel.connection.JsonModelConnection	COVERED
ModelChainConnection	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.modelToModel.connection.ModelChainConnection	COVERED
ModelConnection	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.modelToModel.connection.ModelConnection	UNCOVERED
ModelStringInput	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.modelToModel.connection.ModelStringInput	UNCOVERED
MongoDB	org.finos.legend.engine.protocol.mongodb.schema.metamodel.pure.RootMongoDBClassMapping	COVERED
MongoDBConnection	org.finos.legend.engine.protocol.mongodb.schema.metamodel.pure.MongoDBConnection	COVERED
MongoDBDocumentInternalizeExecutionNode	org.finos.legend.engine.protocol.mongodb.schema.metamodel.pure.MongoDBDocumentInternalizeExecutionNode	UNCOVERED
MongoDBExecutionNode	org.finos.legend.engine.protocol.mongodb.schema.metamodel.pure.MongoDBExecutionNode	UNCOVERED
MongoDatabase	org.finos.legend.engine.protocol.mongodb.schema.metamodel.pure.MongoDatabase	COVERED
Numeric	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Numeric	COVERED
Other	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Other	COVERED
PSK	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.authentication.specification.PSKAuthenticationSpecification	COVERED
PureSingleExecution	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.service.PureSingleExecution	UNCOVERED
Real	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Real	COVERED
RelationalDatabaseConnection	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.connection.RelationalDatabaseConnection	COVERED
RelationalExecutionContext	org.finos.legend.engine.protocol.pure.v1.model.valueSpecification.executionContext.RelationalExecutionContext	UNCOVERED
SemiStructured	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.SemiStructured	COVERED
SmallInt	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.SmallInt	COVERED
Timestamp	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Timestamp	COVERED
TinyInt	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.TinyInt	COVERED
Trino	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.connection.specification.TrinoDatasourceSpecification	COVERED
TrinoDelegatedKerberosAuth	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.connection.authentication.TrinoDelegatedKerberosAuthenticationStrategy	COVERED
Varbinary	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.Varbinary	COVERED
Varchar	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.relational.model.datatype.VarChar	COVERED
XmlModelConnection	org.finos.legend.engine.protocol.pure.v1.model.packageableElement.store.modelToModel.connection.XmlModelConnection	COVERED
_IDResultPath	org.finos.legend.engine.protocol.store.elasticsearch.v7.metamodel.tds._IDResultPath	UNCOVERED
