bare	#>{trades::DB.TRADES}#
selectOne	#>{trades::DB.TRADES}#->select(~[region])
selectMany	#>{trades::DB.TRADES}#->select(~[region, desk, trader, notional])
selectRename	#>{trades::DB.TRADES}#->select(~[region])->rename(~region, ~r)
limit	#>{trades::DB.TRADES}#->limit(7)
limitZero	#>{trades::DB.TRADES}#->limit(0)
slice	#>{trades::DB.TRADES}#->slice(10, 20)
distinct	#>{trades::DB.TRADES}#->select(~[region])->distinct()
filterEq	#>{trades::DB.TRADES}#->filter(x|$x.region == 'EMEA')
filterNe	#>{trades::DB.TRADES}#->filter(x|$x.region != 'EMEA')
filterGt	#>{trades::DB.TRADES}#->filter(x|$x.qty > 100)
filterGte	#>{trades::DB.TRADES}#->filter(x|$x.qty >= 100)
filterLt	#>{trades::DB.TRADES}#->filter(x|$x.notional < 1.5)
filterAnd	#>{trades::DB.TRADES}#->filter(x|($x.qty > 10) && ($x.region == 'APAC'))
filterOr	#>{trades::DB.TRADES}#->filter(x|($x.qty > 10) || ($x.region == 'APAC'))
filterNot	#>{trades::DB.TRADES}#->filter(x|!($x.region == 'EMEA'))
filterNested	#>{trades::DB.TRADES}#->filter(x|(($x.qty > 10) && ($x.notional < 5.0)) || ($x.desk == 'FX'))
filterIsEmpty	#>{trades::DB.TRADES}#->filter(x|$x.desk->isEmpty())
filterIsNotEmpty	#>{trades::DB.TRADES}#->filter(x|$x.desk->isNotEmpty())
filterIn	#>{trades::DB.TRADES}#->filter(x|$x.region->in(['EMEA', 'APAC']))
filterStartsWith	#>{trades::DB.TRADES}#->filter(x|$x.trader->startsWith('A'))
filterEndsWith	#>{trades::DB.TRADES}#->filter(x|$x.trader->endsWith('z'))
filterContains	#>{trades::DB.TRADES}#->filter(x|$x.trader->contains('mit'))
filterChained	#>{trades::DB.TRADES}#->filter(x|$x.qty > 1)->filter(x|$x.qty < 99)
sortAsc	#>{trades::DB.TRADES}#->sort([~region->ascending()])
sortDesc	#>{trades::DB.TRADES}#->sort([~region->descending()])
sortMulti	#>{trades::DB.TRADES}#->sort([~region->ascending(), ~notional->descending()])
groupSum	#>{trades::DB.TRADES}#->groupBy(~[region], ~[t:x|$x.notional:y|$y->sum()])
groupCount	#>{trades::DB.TRADES}#->groupBy(~[region], ~[c:x|$x.qty:y|$y->count()])
groupAvg	#>{trades::DB.TRADES}#->groupBy(~[region], ~[a:x|$x.notional:y|$y->average()])
groupMinMax	#>{trades::DB.TRADES}#->groupBy(~[region], ~[lo:x|$x.qty:y|$y->min(), hi:x|$x.qty:y|$y->max()])
groupTwoKeys	#>{trades::DB.TRADES}#->groupBy(~[region, desk], ~[t:x|$x.notional:y|$y->sum()])
groupNoKeys	#>{trades::DB.TRADES}#->groupBy(~[], ~[t:x|$x.notional:y|$y->sum()])
groupThenFilter	#>{trades::DB.TRADES}#->groupBy(~[region], ~[t:x|$x.notional:y|$y->sum()])->filter(x|$x.t > 100.0)
groupThenSort	#>{trades::DB.TRADES}#->groupBy(~[region], ~[t:x|$x.notional:y|$y->sum()])->sort([~t->descending()])
extendConst	#>{trades::DB.TRADES}#->extend(~[one:x|1])
extendArith	#>{trades::DB.TRADES}#->extend(~[v:x|$x.qty * 2])
extendDivide	#>{trades::DB.TRADES}#->extend(~[v:x|$x.notional->toOne() / 2.0])
extendConcat	#>{trades::DB.TRADES}#->extend(~[k:x|$x.region + '-' + $x.desk])
extendIf	#>{trades::DB.TRADES}#->extend(~[big:x|if($x.qty > 100, |'Y', |'N')])
extendThenFilter	#>{trades::DB.TRADES}#->extend(~[v:x|$x.qty * 2])->filter(x|$x.v > 50)
strToUpper	#>{trades::DB.TRADES}#->extend(~[u:x|$x.region->toOne()->toUpper()])
strToLower	#>{trades::DB.TRADES}#->extend(~[u:x|$x.region->toOne()->toLower()])
strLength	#>{trades::DB.TRADES}#->extend(~[n:x|$x.region->toOne()->length()])
strTrim	#>{trades::DB.TRADES}#->extend(~[u:x|$x.region->toOne()->trim()])
mathAbs	#>{trades::DB.TRADES}#->extend(~[a:x|$x.notional->toOne()->abs()])
mathRound	#>{trades::DB.TRADES}#->extend(~[a:x|$x.notional->toOne()->round()])
pipeline	#>{trades::DB.TRADES}#->filter(x|$x.region == 'EMEA')->select(~[region, desk, notional])->groupBy(~[region, desk], ~[total:x|$x.notional:y|$y->sum()])->sort([~region->ascending()])->limit(10)
pipelineExtend	#>{trades::DB.TRADES}#->extend(~[w:x|$x.notional * 2.0])->filter(x|$x.w > 1.0)->groupBy(~[region], ~[s:x|$x.w:y|$y->sum()])->sort([~s->descending()])->limit(3)
errUnknownColumn	#>{trades::DB.TRADES}#->select(~[nosuchcolumn])
errUnknownTable	#>{trades::DB.NOPE}#->select(~[region])
errBadFunction	#>{trades::DB.TRADES}#->frobnicate()
errTypeMismatch	#>{trades::DB.TRADES}#->filter(x|$x.qty == 'notanumber')
errSyntax	#>{trades::DB.TRADES}#->filter(x|$x.qty >
errEmptyQuery	
errGroupUnknownAgg	#>{trades::DB.TRADES}#->groupBy(~[region], ~[t:x|$x.notional:y|$y->notAnAgg()])
strSubstring	#>{trades::DB.TRADES}#->extend(~[s:x|$x.region->toOne()->substring(0, 2)])
strIndexOf	#>{trades::DB.TRADES}#->extend(~[s:x|$x.region->toOne()->indexOf('M')])
mathCeil	#>{trades::DB.TRADES}#->extend(~[a:x|$x.notional->toOne()->ceiling()])
mathFloor	#>{trades::DB.TRADES}#->extend(~[a:x|$x.notional->toOne()->floor()])
mathPow	#>{trades::DB.TRADES}#->extend(~[a:x|$x.notional->toOne()->pow(2.0)])
mathMod	#>{trades::DB.TRADES}#->extend(~[a:x|$x.qty->toOne()->mod(3)])
extendTwo	#>{trades::DB.TRADES}#->extend(~[a:x|$x.qty * 2, b:x|$x.qty * 3])
extendChained	#>{trades::DB.TRADES}#->extend(~[a:x|$x.qty * 2])->extend(~[b:x|$x.a + 1])
groupCountStar	#>{trades::DB.TRADES}#->groupBy(~[region], ~[c:x|$x.id:y|$y->count()])
groupThenLimit	#>{trades::DB.TRADES}#->groupBy(~[desk], ~[t:x|$x.notional:y|$y->sum()])->sort([~desk->ascending()])->limit(2)
filterDateCmp	#>{trades::DB.TRADES}#->filter(x|$x.booked->isNotEmpty())
